what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294058709
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294060980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294061946
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294065408
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294066567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294067404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294068751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294068966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294073630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294074433
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294082783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1397294087105
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294087886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294107493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294107692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294266567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294267753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294268868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294272844
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294276817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294277556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294280139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294281196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294281929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294284303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397294285207
